id,comment,replies,find_abusive,find_abusive_reply,time,date,title,political,religion,racism,topic,category,word_count,char_count,replies_length,replies_word_count
UgjsJ8edAikfNngCoAEC,"butthurt old fuck, someone ought to teach him a lesson. pathetic swine.","['@ Norm Hull Amen .', 'How much did that dumb bitch cost the tax payers because she was a little moody ? There I fixed it for you .']",1,1,18:56:13,11/30/13,judge flips out after getting flipped off,0,0,1,racism ,"[('fuck', 'asm'), ('fuck', 'asm'), ('pathetic', 'is'), ('pathetic', 'qas'), ('swine', 'an')]",12,71,2,29
Ugw01F2oXDD_in0pKcN4AaABAg,"When someone presents you with new info that flies in the face of your world view, maybe listen and make sure there isn't something to it before you knee jerk. If they are wrong, they are wrong, but as progressive, this is what the trump supporters are crying about and they're right.","['eeeaten Why is Islam worse than Christianity ? It also teaches to kill people who believe in other Gods . Evangelicals want to bring about the second coming of Jesus who will kill 99 % of the world . George Bush invaded Iraq because God told him to . There are Buddhists in Myanmar who are killing Muslims in the name of their imaginary friend . The problem is religion in general , believing in something despite there being no evidence for it .', ""of course one is worse than another . is n't christianity worse than buddhism ? the problem is n't even fundamentalism - a fundamental jain would be a danger to no-one but himself . the problem lies with specific and endorsed doctrine/dogma . islam has the worst of these .""]",1,1,6:57:21,9/19/19,sam harris and bill maher debate radical islam,0,1,0,religion,"[('face', 'an'), ('wrong', 'is'), ('wrong', 'is')]",52,284,2,134
UgjOYOFZD27I9XgCoAEC,"CORRUPTION. raises bail because shes not in a bad mood, he just had 2 try n break her down. fuck that judge","[""classic power trip moment where a person with authority with a hurt ego ca n't help but abuse his powers ."", ""@ herpderpmonkey I understand that , but for this case , i think it was way unnecessary , the judge in that particular moment , do n't used his basic comon sence ."", 'yes , but in a court of law do you think people ought to be penalized for the tone of their voice when they say goodbye ? kind of scary that a judge has that much power in a free society imo .', ""of course it was the tone of her voice . She was acting prissy . I think the judge should 've just held his ego and let the bitch walk out but she was acting like she beat the justice system ( so he taught her a lesson ) .""]",1,1,14:45:49,11/19/13,judge flips out after getting flipped off,0,0,1,racism ,"[('bad', 'dmc'), ('bad', 'ddf'), ('fuck', 'asm'), ('fuck', 'asm')]",22,107,4,147
UghINqGgHMsSpngCoAEC,"you do realize if trump doesn't win, we are screwed.","[""+Ryan S. In that highly unlikely & unfortunate event , I 'm positive there would be even MORE material ! : D"", ""No everyone is pissy because they are smart enough to realize that he is racist , sexist , and quite possibly a racist . We are also pissy because people like you are ignorant . He is racist . He called all hispanic immigrants , rapists . He does't want to ban them because they are illegal . Secondly , he is n't sexist ? Yet he has no respect for women . Not the ones on his show , nor his own daughter . And for all you know he is a rapist , because he admitted that he has sexually assaulted women . If he grape them by their genitals and kisses them that is sexual assault . He does n't want to help america , he wants power , money , and he wants attention ."", 'The Death Trump has been sued several times for racism and sexism and he has never won he has either settled or lost', 'Freddy Gutierrez . I said powerful country not the most powerful . Thanks for showing me that your reading skill is terrible .']",1,1,15:59:49,10/23/16,donald trump vs. hillary clinton third debate cold open - snl,1,0,0,political,"[('do', 'asm'), ('do', 'asm'), ('screw', 'asm'), ('screw', 'asm'), ('screw', 'cds')]",10,52,4,207
UgyJOdnd7DjvH2vkunN4AaABAg,"Poor impulse control, parents.  Some black kids spring out of their seats. After all, she done called a spade a spade.","[""Shut up moron . Blacks did n't even defend the actors actions..""]",1,1,23:54:40,11/4/19,racial remark during high school graduation shocks crowd,0,0,1,racism ,"[('black', 'dmc'), ('black', 'ps'), ('black', 'ps'), ('seat', 'om'), ('do', 'asm'), ('spade', 'ps'), ('spade', 'ps')]",21,118,1,12
UgxlIltpsnx4vF5EpTN4AaABAg,Spoiled twat,"['I have to deal with this retard again , shit']",1,1,18:32:51,5/3/19,judge flips out after getting flipped off,0,0,1,racism ,"[('twat', 'an'), ('twat', 'asf'), ('twat', 'ddp'), ('twat', 'or')]",2,12,1,10
UgwRUYjyncKtfIDXRD54AaABAg,"Recipe:

1 cup of failed dreams
1/2 cup of sleaze 
7 tbsp of hair grease 
1 GED
3/4 tbsp haste

Set oven to 130° (half baked), then mix all ingredients in an ashtray. Place slop on a sleazed pan, then place in oven for 15 minutes. Enjoy your car salesman.","[""rmisionero They are n't bred for shit . They just have a sense of entitlement ."", 'That is true , because the rich are bred to trod on the poor .']",1,1,3:44:03,4/11/18,"pizza delivery guy gets insulted, internet gets revenge",0,0,1,racism ,"[('grease', 'cds')]",50,255,2,31
Ugz0SwNENi8UDiXl9XJ4AaABAg,What shameful pieces of shit treating that man like that.,"[""as a former pizza delivery driver you are aware that it 's your responsibility to ensure that the order is correct before leaving so what am I tipping for if you show up and fucked my order up ? the delivery fee was already included . apologizing for your mistake does n't warrant a tip IMO ."", 'Jimothy Snooker if you don ’ t tip , you deserve a shit and wheeze pizza the next time .', ""unless it 's late or shitty service I always tip but it 's not mandatory and you should n't assume it you should at least ask if they want change back ."", 'Jimothy Snooker as a former pizza driver i remembered the stiffers and the next time that I delivered a pizza to them , they got an extra topping plus an extra 3 hours on their delivery .']",1,1,8:33:11,9/29/17,"pizza delivery guy gets insulted, internet gets revenge",0,0,1,racism ,"[('shit', 'an'), ('shit', 'cds'), ('shit', 'ddp')]",10,57,4,146
Ugx-buppYtj532FUsoZ4AaABAg,"I LOVE THIS Girl even if I am Gay, Oh My God, is this America and American Dream, God Thanks I do believe in Freedom like this whore in New York, State of Liberty:-))","['Jonny Lopez oops', '0IIIIII *THERE learn about proper grammar yet ?', 'Jonny Lopez since it is against the law to disrespect the court . You ’ re not their by choice so you must respect the state', 'I agree . She had an accent too . I don ’ t think it was mocking him', '0IIIIII and since when is mocking someone penalized by jail ? It ’ s not or else I ’ m sure everyone would be in jail . That judge just a bitch']",1,1,5:55:22,1/20/18,judge flips out after getting flipped off,0,0,1,racism ,"[('do', 'asm'), ('whore', 'an'), ('whore', 'pr')]",34,166,5,87
UgxcwBvbnbKbdycjglh4AaABAg,"Speak face to face , they will kill you","[""@ Ksha no.. say 'relax my dad ' . It is better . He is your dad"", ""@ Analiza Absarani I do n't know what 's worse , worshiping a terrorist or worshiping a pedophile ... ... your religion has nothing to do with God , it is all about the 7th Century Warlord ... https : //youtu.be/GE3lsjqTi7s"", 'Yes . May Allah guide u akways men.😊😊', ""@ Tarun 's I was responding to a comment I perceived as negative towards Hinduism . The Kaaba was a Hindu temple . Muhammad expelled the original worshippers and invented a story that it was built by Abraham and his son . Although I am not a Hindu , it makes more sense to me than the lie of Islam ."", ""@ Jay Cristoval No , brother we do n't pray towards kaba , Hinduism is not a pegan religion . Actually Dharma ca n't be explained in few sentences . But , If you really want to know then you have to experience it by acurring the gayana of Brahama ( consciousness of Universe ) . One can explain religion ( believe system , faith , rituals , etc . ) but Dharma is the purest path towards Moksha ( enlightenment ) . There are certain experienced paths of Great Yogi 's for thousands of years _Veda , Upanishads , Bhagabata Gita , Purana , etc . These are considered shortest known path of Brahama Gayana . I wish you try knowing it 's core before pass any comments .""]",1,1,17:05:49,5/31/19,an atheist confronts dr zakir naik,0,1,0,religion,"[('face', 'an'), ('face', 'an'), ('kill', 're')]",9,39,5,257
