id,comment,replies,title,labels,political,religion,other,date,time
UgwrwMF7yHghbMoy-Bp4AaABAg,I m really really proud to be Muslim 💞💞💞💞❤️❤️❤️,"['@ imane SOG , wrong answer !', ""It 's full of mistakes ... that why""]","islam, judaism, and christianity - a conversation",0,0,1,0,7/27/19,14:58:36
Ugz5eaDvqlkD4i0k8r54AaABAg,"I dont really care what a person says, I care what your book says.  And killing people because they don't understand is unacceptable.","['Brother , you are trying to cherry pick verses and justify your thoughts . ISIS is also doing the same thing . Read Quran with context , you will understand it bro .']","islam, judaism, and christianity - a conversation",0,0,1,0,3/1/18,16:20:51
Ugwf-aGk8N91ciuhuEJ4AaABAg,I just simply love watching this kind of conversation. Full of knowledge from start to end. Amazing.,"['The first commandment is God is one , not three in one ! and you know that Christians believe that Jesus aborted the commandments with his crucifixion ! what abraham god do you speak', 'What differs in Islam in the first commandment ?']","islam, judaism, and christianity - a conversation",0,0,1,0,7/15/19,17:19:44
Ugz9-4hUrwThGij7Sft4AaABAg,The judge should not have raised her bond that high for saying adios. Abuse of power.,['Bail isn ’ t a fine . It ’ s you who doesn ’ t understand what happened here . But don ’ t let that stop you from criticizing it'],judge flips out after getting flipped off,0,0,0,1,10/19/19,20:26:51
Ugyye3eCaEiKwkjlAMR4AaABAg,"Religion came when human start thinking more after fulfilling basic needs (food, shelter......). Other living beings don't have identity unless we paint on them. So beautiful human life n love comes first for me and secondly I respect all religion.","[""Allah is the god . You mean Mohammad the prophet . And his marriage with Aisha . He did n't rape her . He engaged with her at the age of 6 and continued the marriage when she turned 9 and became an adult . It was a normal thing at that time . Girls would get married at 9 and become mothers at 10 or 11""]",the differences between islam and hinduism,0,0,1,0,1/22/19,5:04:34
UgyuA5-PNpcVOLYHpkN4AaABAg,0:40 I love her 😂,"[""Salah ' G you clearly know nothing about history"", 'time to go back to school ... ..']",atheism in egypt: the challenges facing non-believers? bbc news,0,0,1,0,9/22/18,5:57:29
UgwmJQnVk658Ie2hGkF4AaABAg,What thing in the observable universe has suddenly come into existence without an intelligent designer? I’d like to know,"[""And , of course , they are wrong . Babies are born believers of a supreme being , even though they have n't been taught anything about religion , according to scientific research on the topic ."", '@ Roman Maceli This is what internet/TV atheists believe .', 'MrStripeyDog what in the hell are you talking about ? Can you please elaborate because I ’ m agnostic and I don ’ t think babies are born any type of religious subgroup']",richard dawkins: 'somebody as intelligent as jesus would have been an atheist',0,0,1,0,9/4/19,6:32:04
Ugz_4VwMhJFd3_3rpDR4AaABAg,"State attorney: Do you have cards?
Officer: Go fish.",['LoL stfu You trying too hard'],police pull over florida state attorney,0,0,0,0,11/26/19,19:50:12
Ugwc_behCrD4W_8GQux4AaABAg,"And the legend goes, that that at this date, this 2 officers are still waking back to their car.","[""STATES ATTORNEY NOW FIRST HAND WITNESS TO WHAT EVIL IS BEHIND CLOSED DOORS OF PUBLIC SERVICE OFFICE IN THE `` GREAT ? '' state @ FLORIDA ? ? ? ?""]",police pull over florida state attorney,0,0,0,0,9/17/17,17:13:33
UgwM9aNyAPSx-RCt0px4AaABAg,"“The hole world gonna see you boo”
LMAO😂🤣😂🤣😂🤣😂🤣😂🤣",['Fresh Prince Of Darkness sadly it doesn ’ t exist'],woman who called police on black girl selling water,0,0,0,0,11/27/19,22:59:47
UgyHGgofav_PcmS_f9F4AaABAg,increible el parecido en ideas de el  peje con nicolas maduro O.O...................,['Graciela Ramirez es por su acento tabasqueño no porque nos sepa hablar'],revive el debate de andrés manuel lópez obrador,1,1,0,0,3/24/18,4:00:46
Ugy-hDN19lxBy2v2eWl4AaABAg,"An Iranian lady said she was lashed 25 times in Iran for getting caught riding in the front seat of a taxi cab because the back seat was full before the previous stop. Cops suspected she was having an affair with the driver. She was sentenced to 75, but she bought 50 of the lashes. She was 15. Wonder what happened to the driver. No thanks Islam.","['hahaha exactly ,']",what islam really says about women | alaa murabit,0,0,1,0,5/3/19,3:41:45
Ugyfx5PRG9PlKffbqRx4AaABAg,That's my baby girl ryee theree ♥️♥️♥️,['He ’ s Cuban'],judge flips out after getting flipped off,0,0,0,0,10/8/19,3:15:58
UgyeJqtCejQDUTqh9rZ4AaABAg,How much coke do you think Ben did before the show? Check out his face and at 6:02. Everything that is said goes right over Ben's head. He is clearly on a stooper and hopefully rehab has helped him.,['Listen'],sam harris and bill maher debate radical islam,0,0,1,0,4/30/19,4:29:57
Ughx1wvp2fIXkngCoAEC,The last guy is decent.,"[""White people do to what 's your point""]",black customer racially profiled in high end store,0,0,0,0,8/10/16,1:40:30
UgwafWaGd1e9-BgML-Z4AaABAg,Stop crying. White America is in her dead bed. 400 years of injustice coming back to haunt you. Stop blaming Trump. Racism was here before he was born.,"[""You do n't like those FACTS dm6187 lol"", 'Fake profile , fake news']","panelist cries discussing racism, republican party",0,0,0,0,7/13/18,2:07:09
Ugy7lf23wHzo48i4Npt4AaABAg,"1. Be careful what u wish for.
2. Why didn't they just give him 45?",['Solur lmao'],"pizza delivery guy gets insulted, internet gets revenge",0,0,0,0,9/21/19,10:55:33
