id,comment,category,replies,topic,title,date,time,political,religion,racism,find_abusive,find_abusive_reply
UgxS-tdtYr2XvNMhfEp4AaABAg,The devil was not in her mouth it was racism instead,"[('devil', 'cds'), ('mouth', 'cds')]",['Shouldve not made a mistake with the program .'],racism ,racial remark during high school graduation shocks crowd,7/26/19,6:55:06,0,0,1,0,0
Ugxw8SUTeJnJfMEehKp4AaABAg,Affirmative Action  &  Diversity quotas  can get you places!   let this be motivation for all those people with the victim mentality.  hard work and skills is a thing of the past!   the time is now!,"[('can', 'om'), ('can', 'cds'), ('people', 'cds'), ('people', 'cds'), ('victim', 'ddp'), ('hard', 're')]","[""XwX , umm , caucasian is a LARGER group than white ... `` White '' people are just the European Caucasians . Other Caucasians are Arabs , Northern Indians etc ."", ""Kapteeni Finland Actually the caucasian population is not that large anymore . Everyone knows that the Caucasians race numbers are low . The reason white population is high because of immigrants . You obviously do n't know white Arabs , white Mexicans , white Africans , and white Asians all classified themselves as white on the census . So if you say white yes the numbers are high but if you say Caucasian the numbers are low https : //www.google.com/amp/s/mobile.nytimes.com/2018/06/20/us/white-minority-population.amp.html"", ""I must have missed `` on black people '' or your ' e just a racist ."", 'No Nino your comment made no sense . Im here if you wan na take another stab at it', 'yepblack people']",racism ,police pull over florida state attorney,5/12/18,19:16:12,0,0,1,0,0
Ugz6O0fNRch_XkM2PdF4AaABAg,"Dawkins mentioned the marvelous gift of life, the gift of understanding..........  My question is where did these gifts come from? Especially the gift of life. That's huge, that's big. So when he said gift, it must have been given, right? A GIFT wouldn't be a GIFT, unless it's GIVEN by a GIVER. Where and who did these gifts come from? I want an answer. Thank you.","[('do', 'asm'), ('do', 'asm')]","[""Ironic when you consider it 's video from a newspaper organization that demands & prizes Free Speech .""]",religion,richard dawkins: 'somebody as intelligent as jesus would have been an atheist',6/24/19,18:46:07,0,1,0,0,0
UgyWRLYQCynwKCZNwal4AaABAg,Sister if you are Muslim then please rethink again about Islam. You are in the wrong line and this is not islam way. Islam treat women perfectly if you follow Islam correct.,"[('wrong', 'is')]",['? ? ? How😂 Islam/Muslims are not a race .'],religion,what islam really says about women | alaa murabit,9/6/19,8:38:09,0,1,0,0,0
UgyWvMwgM5fCEB-Oaup4AaABAg,just like people don't recognize their racist in these situations.... people who say race card... also don't recognize racism.....,"[('people', 'cds'), ('people', 'cds'), ('do', 'asm'), ('people', 'cds'), ('people', 'cds'), ('race', 'ps'), ('do', 'asm')]","['Windy Hawthorn Because of the sun is why people have dark skin', ""@ Windy Hawthorn Ok , we get it , you 're a white racist of German descent . We could all tell that from the beginning , you can stop proving it already ."", 'I have been sunburned before .', 'all race can have eczema . like most ppl can have asthma', '@ Dude Love eczema is a skin reaction']",racism ,kanye west ignites a debate about racism,10/21/18,13:41:47,0,0,1,0,0
UgyuA5-PNpcVOLYHpkN4AaABAg,0:40 I love her 😂,"[('love', 'asm')]","[""Salah ' G you clearly know nothing about history"", 'time to go back to school ... ..']",religion,atheism in egypt: the challenges facing non-believers? bbc news,9/22/18,5:57:29,0,1,0,0,0
UgynsNUsHiB4zvkmPd14AaABAg,Im 29 years old and converted when I was 19 years old. I was raised Catholic. I’ve have not regretted my decision. Knowledge is a big part of Islam which this Muslim brother has a lot of. I’m so proud.,"[('lot', 'cds'), ('proud', 'svp'), ('proud', 'svp')]","['As-salaamu alaikum wr wb . I thank you both and appreciate your help . Alhamdu lillaah , I have been Muslim for 12 years now .', 'Karl Hardy https : //youtu.be/kLar7zWvRbc سلام', 'Subscribe to SCDawah , EFDawah , Merciful Servant , ProphetsPath . These channels will help you to become better muslim']",religion,"islam, judaism, and christianity - a conversation",10/28/19,0:49:51,0,1,0,0,0
UgxeYTHy6slD9IZBWk54AaABAg,😂😂😂these people are INSANE!!!,"[('people', 'cds'), ('people', 'cds')]","['the best was the NAACP leader crying racist cop , then the bodycam shows a polite cop letting the guy off of at least 2 tickets and having his car towed . embarrassing', 'Are you guys serious or just really blind . ?', 'Fake anti-racism is big business these days , its the bread and butter of the left .']",racism ,"panelist cries discussing racism, republican party",7/12/18,9:46:41,0,0,1,0,0
Ugx-_ObEWggspJHydkF4AaABAg,"Looks like a bullshity propaganda video IMO. Not saying it doesn't happen, but this vid is sketchy. Show us the full vid, not just this bs cuts.","[('do', 'asm')]","['@ No Brand YT User ? ? ?', ""what end , do you mean when the UPIC massacre , those who do n't destroy China , with freaking lasers pew pew pew ?""]",racism ,black man asked to leave his own pool,2/21/19,16:52:46,0,0,1,0,0
Ugh80RVCHGx8vHgCoAEC,Bill Clinton had close relations with the IRS and used them as leverage while President. Illegally getting his political and business opponents audited while his buddies were not audited his entire presidency. Hmmmm Trump hasn't paid taxes for awhile interesting.,"[('political', 'pa')]","['This is a democrat channel ... look at some of hillary ads ... so many dislikes from trump supports ... wrong side of the internet buddy xD', '+Sir Denzington wake up , your wet dream has turned into a nightmare , trumps IBSD is even embarrassing his enemies . Coulter is ashamed , his surrogates and handlers are fleeing the sinking ship . The end is coming', ""I really hope you 're right .""]",political,donald trump vs. hillary clinton debate cold open - snl,10/3/16,1:29:29,1,0,0,0,0
